"Comment","Designator","Footprint","LCSC Part #"
"Conn_01x08","J1","",""
"SBUS","J2","",""
"2N7002","Q1","SOT-23","C8545"
"10k","R1 R3 R10 R13 R20 R23 R24","0402"," C25744"
"100","R2 R7 R8 R14 R17 R18 R21 R22","0402"," C25076"
"100nF","C1 C2 C3 C4 C5 C7 C17 C18","0402","C1525"
"4.7uF","C6 C11 C12","0402","C23733"
"33pF","C8 C9","0402","C1562"
"BLUE","D1","0603","C72041"
"GREEN","D2","0603","C72043"
"FWU","JP1","",""
"1k5","R4","0402"," C25867"
"4k7","R5 R6","0402"," C25900"
"STM32F303RETx","U1","LQFP-64(10x10)","C183214"
"X322512MSB4SI","Y1","SMD3225-4P","C9002"
"1uF","C10 C13","0402","C52923"
"10uF","C14 C15 C16","0402","C15525"
"RED","D3","0603","C2286"
"LiPo","J3","",""
"SYS_ON","JP2","",""
"NRV2010T2R2MGF","L1","SMD","C222837"
"470","R9","0402","C25117"
"0.010","R11","2010","C175965"
"2k","R12","0402","C4109"
"1M","R15","0402","C26083"
"180k","R16","0402"," C25760 "
"MCP73831-2-OT","U2","SOT-23-5","C424093"
"BQ27441DRZR-G1A","U3","SON-12-EP(2.5x4)","C473397"
"TPS63000","U4","SON-10-EP(3.1x3.1)","C24966"
"USB","J4","SMD","C136000"
"UART","J6","",""
"I2C","J7","",""
"BAT54W","D4 D5 D6 D7","SOD-123","C915628"
"M1_DC","J8","",""
"M2_DC","J9","",""
"M3_DC","J10","",""
"M4_DC","J11","",""
"SIA906EDJ-T1-GE3","Q2 Q3","WSON-6-EP(2x2)","C142544"
"10k","R19","0402",""
"LSM6DSOTR","U5","LGA-14(2.5x3)","C2655100"
